name,2002.31,2005.26,2008.21,2011.15,2014.09,2017.02,2019.96,2022.89,2025.81,2028.73,2031.65,2034.57,2037.48,2040.39,2043.29,2046.19,2049.09,2051.98,2054.87,2057.76,2060.64,2063.52,2066.39,2069.27,2072.13,2075.0,2077.86,2080.71,2083.57,2086.42,2089.27,2092.11,2094.95,2097.79,2098.91,2102.04,2105.15,2108.27,2111.38,2114.49,2117.6,2120.7,2123.8,2126.9,2129.99,2133.08,2136.17,2139.25,2142.33,2145.41,2148.49,2151.56,2154.63,2157.69,2160.75,2163.81,2166.87,2169.92,2172.97,2176.02,2179.06,2182.1,2185.14,2188.17,2191.2,2194.23,2197.26,2200.28,2203.3,2206.31,2209.32,2212.33,2215.34,2218.34,2221.34,2224.34,2227.33,2230.32,2233.3,2236.29,2239.27,2242.24,2245.22,2248.19,2251.16,2254.12,2257.08,2260.04,2263.0,2265.95,2268.9,2271.84,2274.78,2277.72,2280.66,2283.59,2286.52,2289.45,2292.37,2295.29,2298.21,2301.12
D2-fructose_lipid,0.17723,0.18759,0.19607,0.20269,0.20744,0.21032,0.21133,0.19157,0.20168,0.20501,0.19544,0.19806,0.19433,0.20424,0.20109,0.2005,0.22821,0.21677,0.21372,0.21299,0.21747,0.21874,0.21903,0.23915,0.21801,0.20689,0.20355,0.20297,0.20374,0.18034,0.17521,0.1811,0.19337,0.20103,0.24939,0.31353,0.34646,0.39198,0.46352,0.53469,0.57768,0.6222,0.68199,0.68729,0.71613,0.72974,0.78582,0.80788,0.81837,0.82191,0.83444,0.81357,0.77573,0.76275,0.74555,0.71657,0.73751,0.74736,0.77653,0.80717,0.83358,0.87811,0.87434,0.847,0.79632,0.7201,0.64508,0.58039,0.49104,0.41241,0.32733,0.27942,0.23713,0.22066,0.20318,0.20163,0.1786,0.1633,0.16711,0.17575,0.17836,0.21503,0.2188,0.23614,0.24287,0.23138,0.23372,0.20787,0.19932,0.18526,0.17062,0.16376,0.17631,0.20674,0.21469,0.23099,0.23293,0.23056,0.22386,0.21284,0.19749,0.17783
D7-glucose_lipid,0.10628,0.09144,0.0793,0.06986,0.06313,0.05909,0.05775,0.06253,0.07366,0.07948,0.08569,0.07784,0.06604,0.06828,0.06803,0.06258,0.06862,0.07462,0.07861,0.08731,0.08862,0.08342,0.08258,0.07962,0.07686,0.0763,0.07765,0.08021,0.09007,0.10253,0.12226,0.13599,0.15639,0.17841,0.19599,0.22335,0.25433,0.28771,0.32803,0.3732,0.42875,0.49284,0.56276,0.62571,0.70045,0.77979,0.82887,0.88456,0.93156,0.9534,0.95916,0.96352,0.95265,0.92333,0.89134,0.85188,0.82255,0.80458,0.77319,0.7509,0.72782,0.70184,0.67683,0.64721,0.60055,0.54709,0.48807,0.43848,0.39874,0.37096,0.34263,0.30971,0.29186,0.27816,0.25996,0.23353,0.21681,0.20551,0.18384,0.17746,0.16102,0.15586,0.14748,0.13788,0.13875,0.12609,0.10543,0.08955,0.08488,0.07296,0.06375,0.05581,0.04911,0.06316,0.06909,0.07279,0.07615,0.07908,0.08158,0.08365,0.08528,0.08647
D-leucine_lipid,0.09659,0.09933,0.10251,0.10615,0.11024,0.11478,0.11977,0.12249,0.11016,0.10828,0.11074,0.12967,0.15814,0.19355,0.24753,0.27604,0.28845,0.30041,0.33164,0.37589,0.40621,0.44242,0.45211,0.46301,0.47636,0.4723,0.46675,0.45888,0.45221,0.44342,0.44936,0.45501,0.48141,0.51797,0.53316,0.53897,0.5526,0.57054,0.56765,0.58838,0.57766,0.56731,0.55249,0.56305,0.56935,0.57469,0.57366,0.56495,0.5624,0.57336,0.55968,0.5557,0.53643,0.52374,0.52371,0.5377,0.52032,0.52693,0.57441,0.63209,0.69771,0.75251,0.7949,0.8069,0.80544,0.78312,0.74533,0.67563,0.5923,0.51364,0.45765,0.41075,0.37972,0.37049,0.34586,0.29165,0.27922,0.27427,0.25428,0.23339,0.21306,0.18701,0.15556,0.16028,0.16875,0.18161,0.14902,0.10789,0.1267,0.1353,0.13103,0.11532,0.12571,0.12548,0.11409,0.14956,0.16188,0.17406,0.18611,0.19801,0.20978,0.22142
D-methionine_lipid,0.36308,0.33615,0.31112,0.28801,0.26681,0.24752,0.23015,0.19238,0.20289,0.18307,0.17132,0.17491,0.20056,0.2263,0.25117,0.2717,0.29723,0.32045,0.33848,0.35385,0.39042,0.39601,0.39956,0.40136,0.41604,0.42744,0.43542,0.44923,0.46728,0.49429,0.51644,0.55456,0.57594,0.58295,0.5893,0.59639,0.61625,0.62265,0.62893,0.65725,0.71352,0.77848,0.82254,0.85938,0.85844,0.85323,0.85844,0.83607,0.80007,0.73969,0.69649,0.64681,0.6233,0.60441,0.58999,0.61709,0.62833,0.67174,0.72331,0.76039,0.80587,0.85048,0.87323,0.87241,0.83529,0.80095,0.73111,0.68538,0.62063,0.5752,0.52254,0.45848,0.43094,0.41455,0.40629,0.38244,0.36075,0.3668,0.33233,0.35189,0.35926,0.36214,0.37923,0.35822,0.37936,0.35871,0.32503,0.26667,0.28151,0.26457,0.2283,0.23441,0.20038,0.17879,0.18504,0.17907,0.18038,0.18484,0.19244,0.2032,0.21711,0.23417
D-tyrosine_lipid,0.15436,0.17211,0.18655,0.19767,0.20549,0.21,0.21119,0.20931,0.20391,0.19282,0.18394,0.19034,0.19746,0.18949,0.19369,0.21996,0.23759,0.24386,0.24007,0.24624,0.26559,0.28213,0.29749,0.30254,0.30319,0.31463,0.33212,0.33941,0.34268,0.34367,0.35323,0.37387,0.4007,0.4221,0.44267,0.45778,0.46561,0.49185,0.501,0.49634,0.47172,0.46414,0.45136,0.43734,0.42342,0.43311,0.4714,0.48162,0.49486,0.52113,0.55164,0.55999,0.55228,0.57477,0.58133,0.60851,0.61556,0.67038,0.73444,0.77391,0.81444,0.84777,0.84903,0.82347,0.77896,0.72984,0.66715,0.60416,0.52879,0.50746,0.48069,0.47915,0.46096,0.4437,0.42044,0.4161,0.38699,0.36311,0.336,0.30586,0.28288,0.26598,0.25058,0.24368,0.22166,0.21437,0.22196,0.2181,0.19263,0.20361,0.18502,0.1609,0.1485,0.14482,0.1473,0.13238,0.13234,0.13643,0.14465,0.157,0.17349,0.19411
D-leucine_protein,0.00333,0.03401,0.03441,0.01874,0.06691,0.06844,0.00732,0.01176,0.0331,0.06219,0.03206,0.03045,0.04206,0.10967,0.0952,0.15002,0.1687,0.26431,0.3112,0.43924,0.63854,0.80356,0.90879,0.99289,1.0,0.91507,0.80287,0.70019,0.67737,0.58085,0.54396,0.51003,0.47523,0.46243,0.46344,0.46905,0.44275,0.46421,0.52905,0.58637,0.64973,0.69592,0.68312,0.76808,0.79249,0.78766,0.66034,0.57654,0.51518,0.42197,0.49021,0.3792,0.34351,0.34998,0.35947,0.31871,0.3319,0.31738,0.3461,0.32973,0.32622,0.26012,0.25049,0.39075,0.27939,0.30547,0.3644,0.36262,0.37308,0.31997,0.47442,0.50864,0.58882,0.66563,0.55629,0.54996,0.56215,0.48739,0.51152,0.46602,0.3066,0.3501,0.27085,0.22279,0.24345,0.14179,0.15528,0.19667,0.08879,0.12629,0.06638,0.08951,0.13145,0.09046,0.04098,0.05335,0.05902,0.07082,0.0,0.08049,0.05838,0.09125
D-tyrosine_protein,0.08767,0.05756,0.03993,0.01645,0.05679,0.10776,0.12103,0.12598,0.15756,0.19891,0.28959,0.37557,0.44937,0.50718,0.59541,0.70597,0.80844,0.91516,0.97885,0.99664,0.9649,0.94662,0.91743,0.87496,0.81061,0.74519,0.65207,0.54526,0.47282,0.42078,0.36922,0.2926,0.25474,0.24916,0.2072,0.19971,0.21635,0.24838,0.18713,0.1801,0.22005,0.2252,0.15024,0.13325,0.16572,0.17367,0.12628,0.14697,0.17135,0.18025,0.15193,0.15324,0.17524,0.19986,0.22204,0.16759,0.11432,0.08455,0.11948,0.11756,0.13486,0.15983,0.16488,0.13493,0.14515,0.16943,0.18579,0.16877,0.24315,0.3344,0.31837,0.21346,0.15053,0.15975,0.15609,0.16435,0.17212,0.18865,0.21993,0.23119,0.20624,0.21074,0.23789,0.27968,0.284,0.29409,0.30636,0.33552,0.38559,0.43946,0.43551,0.42923,0.48595,0.58573,0.61827,0.6553,0.57657,0.46732,0.38048,0.4078,0.37286,0.30676
D7-glucose_protein,0.23392,0.22854,0.22289,0.21697,0.21079,0.20271,0.21618,0.21934,0.19661,0.19948,0.22147,0.22575,0.24884,0.28358,0.34727,0.42438,0.53785,0.65709,0.75786,0.80662,0.84658,0.87347,0.88922,0.87097,0.8437,0.80856,0.72017,0.64471,0.59921,0.55182,0.53142,0.53586,0.54241,0.58604,0.57193,0.58309,0.58337,0.5676,0.53067,0.53486,0.49448,0.53736,0.4973,0.46275,0.43621,0.44306,0.42561,0.43847,0.39771,0.42641,0.41898,0.41314,0.4108,0.43241,0.46914,0.49923,0.4624,0.4652,0.45636,0.44688,0.44355,0.45895,0.49267,0.50727,0.47985,0.50676,0.43908,0.40206,0.36982,0.30965,0.2966,0.3086,0.25726,0.25603,0.23028,0.2256,0.23611,0.23505,0.25683,0.27615,0.20552,0.21496,0.22445,0.19358,0.24054,0.23775,0.21636,0.21247,0.19179,0.21901,0.21931,0.2275,0.25375,0.21102,0.22778,0.22724,0.21345,0.21032,0.21038,0.21241,0.2164,0.22237
D2-fructose_protein,0.21862,0.19387,0.10532,0.21108,0.19148,0.24954,0.23657,0.26613,0.04719,0.15463,0.24187,0.10892,0.26959,0.14373,0.13997,0.22653,0.29487,0.4399,0.40024,0.62097,0.70041,0.70559,0.77218,0.71548,0.66477,0.57768,0.58031,0.62515,0.64754,0.62952,0.68285,0.76644,0.75629,0.90449,1.0,0.98729,0.87706,0.94874,0.88136,0.85297,0.90704,0.7378,0.8121,0.64093,0.68681,0.73249,0.74013,0.75972,0.7716,0.79051,0.80842,0.74184,0.75518,0.69638,0.58485,0.48196,0.44574,0.50596,0.66145,0.79841,0.74774,0.77496,0.87437,0.96535,0.62183,0.73194,0.5752,0.60004,0.39581,0.42828,0.42338,0.52488,0.3856,0.3279,0.37119,0.45408,0.39216,0.3168,0.33744,0.34816,0.24022,0.16291,0.18512,0.26892,0.18394,0.23078,0.20332,0.29444,0.16302,0.16029,0.09134,0.27225,0.1414,0.19825,0.28267,0.21079,0.11556,0.16166,0.21729,0.20828,0.29224,0.18244
