name,2002.31,2005.26,2008.21,2011.15,2014.09,2017.02,2019.96,2022.89,2025.81,2028.73,2031.65,2034.57,2037.48,2040.39,2043.29,2046.19,2049.09,2051.98,2054.87,2057.76,2060.64,2063.52,2066.39,2069.27,2072.13,2075.0,2077.86,2080.71,2083.57,2086.42,2089.27,2092.11,2094.95,2097.79,2098.91,2102.04,2105.15,2108.27,2111.38,2114.49,2117.6,2120.7,2123.8,2126.9,2129.99,2133.08,2136.17,2139.25,2142.33,2145.41,2148.49,2151.56,2154.63,2157.69,2160.75,2163.81,2166.87,2169.92,2172.97,2176.02,2179.06,2182.1,2185.14,2188.17,2191.2,2194.23,2197.26,2200.28,2203.3,2206.31,2209.32,2212.33,2215.34,2218.34,2221.34,2224.34,2227.33,2230.32,2233.3,2236.29,2239.27,2242.24,2245.22,2248.19,2251.16,2254.12,2257.08,2260.04,2263.0,2265.95,2268.9,2271.84,2274.78,2277.72,2280.66,2283.59,2286.52,2289.45,2292.37,2295.29,2298.21,2301.12
C13-D-acetate,0.08252,0.0768,0.07189,0.0678,0.06451,0.06203,0.06037,0.05725,0.0593,0.05919,0.05152,0.04841,0.04729,0.05503,0.06698,0.0724,0.09581,0.13758,0.20674,0.29369,0.37725,0.44042,0.47964,0.50046,0.48435,0.45079,0.3966,0.33106,0.2791,0.25691,0.25198,0.26711,0.28729,0.3124,0.34658,0.40588,0.47104,0.55254,0.63824,0.71793,0.79738,0.87296,0.9307,0.96483,0.97928,0.97866,0.9725,0.95695,0.93566,0.91535,0.8812,0.84239,0.8035,0.76287,0.72323,0.67587,0.63936,0.60487,0.57941,0.55975,0.55905,0.5761,0.59464,0.61938,0.62824,0.63528,0.63042,0.60134,0.56078,0.50798,0.44587,0.38409,0.32561,0.28081,0.2411,0.21217,0.18022,0.16681,0.14748,0.1329,0.12345,0.11972,0.11192,0.11217,0.11301,0.11509,0.11783,0.12339,0.11906,0.12196,0.11901,0.11673,0.11101,0.11288,0.10803,0.10056,0.09742,0.09421,0.09093,0.08757,0.08414,0.08064
C13-D-glucose,0.05731,0.06914,0.07821,0.08453,0.08809,0.08889,0.08694,0.06657,0.06369,0.05375,0.05377,0.06334,0.05487,0.05854,0.07136,0.0753,0.08601,0.08928,0.08442,0.08073,0.08837,0.08754,0.09689,0.10017,0.0991,0.10023,0.11049,0.11885,0.13724,0.15355,0.17355,0.205,0.23622,0.25907,0.29727,0.3331,0.35621,0.37627,0.41159,0.44604,0.49889,0.55168,0.608,0.66401,0.72985,0.79245,0.84981,0.88537,0.90052,0.89984,0.89687,0.8923,0.90207,0.8766,0.8392,0.81545,0.80985,0.78417,0.75604,0.72572,0.69812,0.65686,0.62697,0.59954,0.56006,0.48552,0.42263,0.37479,0.33174,0.28772,0.26064,0.24337,0.22395,0.20431,0.20284,0.17542,0.15073,0.1304,0.11064,0.10094,0.08971,0.08793,0.0787,0.08386,0.07753,0.08353,0.08446,0.07698,0.07584,0.08207,0.08031,0.07505,0.06484,0.06291,0.06207,0.07326,0.07528,0.07763,0.08031,0.08331,0.08663,0.09029
C13-D-met,0.05472,0.06247,0.06877,0.07361,0.07699,0.07892,0.0794,0.07308,0.06544,0.05794,0.05071,0.05197,0.0782,0.0908,0.1061,0.11908,0.13928,0.15977,0.17763,0.18518,0.19382,0.19204,0.19107,0.17422,0.20159,0.22475,0.24103,0.25038,0.26529,0.27637,0.29612,0.30039,0.33355,0.36156,0.3873,0.4176,0.47459,0.5258,0.56441,0.58438,0.58768,0.58574,0.56657,0.56549,0.59053,0.62581,0.66631,0.73315,0.78461,0.84551,0.89859,0.92576,0.90788,0.87566,0.83091,0.81205,0.80146,0.79245,0.7733,0.79993,0.82642,0.86632,0.89646,0.90034,0.87594,0.83683,0.81269,0.78312,0.73375,0.69975,0.64617,0.62176,0.61549,0.59868,0.59021,0.55932,0.53043,0.48655,0.47636,0.45482,0.43875,0.42988,0.39382,0.35661,0.34444,0.29981,0.28383,0.26152,0.22897,0.21907,0.21871,0.22147,0.21933,0.21174,0.21047,0.1975,0.19336,0.19121,0.19106,0.1929,0.19673,0.20256
D2-fructose,0.17723,0.18759,0.19607,0.20269,0.20744,0.21032,0.21133,0.19157,0.20168,0.20501,0.19544,0.19806,0.19433,0.20424,0.20109,0.2005,0.22821,0.21677,0.21372,0.21299,0.21747,0.21874,0.21903,0.23915,0.21801,0.20689,0.20355,0.20297,0.20374,0.18034,0.17521,0.1811,0.19337,0.20103,0.24939,0.31353,0.34646,0.39198,0.46352,0.53469,0.57768,0.6222,0.68199,0.68729,0.71613,0.72974,0.78582,0.80788,0.81837,0.82191,0.83444,0.81357,0.77573,0.76275,0.74555,0.71657,0.73751,0.74736,0.77653,0.80717,0.83358,0.87811,0.87434,0.847,0.79632,0.7201,0.64508,0.58039,0.49104,0.41241,0.32733,0.27942,0.23713,0.22066,0.20318,0.20163,0.1786,0.1633,0.16711,0.17575,0.17836,0.21503,0.2188,0.23614,0.24287,0.23138,0.23372,0.20787,0.19932,0.18526,0.17062,0.16376,0.17631,0.20674,0.21469,0.23099,0.23293,0.23056,0.22386,0.21284,0.19749,0.17783
D2-glucose,0.08935,0.08558,0.08167,0.07761,0.07342,0.06908,0.06459,0.05546,0.04695,0.04101,0.03681,0.04501,0.064,0.07071,0.0753,0.07151,0.07937,0.07824,0.06824,0.06304,0.06886,0.07017,0.07309,0.08946,0.09824,0.11015,0.12285,0.13625,0.15506,0.16174,0.17018,0.18467,0.20133,0.21701,0.23556,0.26947,0.30895,0.37041,0.43425,0.51232,0.59364,0.66662,0.73606,0.79952,0.85035,0.89285,0.91359,0.9327,0.95594,0.96594,0.97018,0.9657,0.9558,0.94425,0.9302,0.91339,0.91085,0.90327,0.90165,0.89922,0.88789,0.86923,0.83605,0.77081,0.70854,0.63762,0.55845,0.48843,0.43507,0.39068,0.36164,0.32661,0.29677,0.28567,0.26103,0.22053,0.20072,0.17593,0.16479,0.15661,0.15096,0.14042,0.13167,0.12537,0.11374,0.10897,0.09083,0.07147,0.06896,0.05996,0.06034,0.05793,0.05871,0.0549,0.06747,0.06676,0.06737,0.06719,0.0662,0.06442,0.06184,0.05846
D2O,0.02179,0.01902,0.01655,0.01437,0.0125,0.01092,0.00964,0.00789,0.00738,0.00651,0.00645,0.00672,0.00934,0.0107,0.01426,0.01653,0.01786,0.02226,0.02677,0.03164,0.03582,0.04001,0.04229,0.04674,0.05194,0.0562,0.06331,0.06872,0.07561,0.08566,0.09584,0.10492,0.11582,0.12968,0.14324,0.16218,0.18111,0.20459,0.23397,0.27383,0.32349,0.38533,0.4605,0.54831,0.64343,0.73884,0.82429,0.90048,0.95218,0.987,0.99991,0.98992,0.96306,0.92872,0.89221,0.85692,0.82289,0.78853,0.75475,0.71948,0.68023,0.63791,0.5906,0.53692,0.48411,0.43592,0.39086,0.35426,0.32217,0.29475,0.27051,0.24747,0.22672,0.20812,0.1907,0.1749,0.15868,0.14867,0.13443,0.12801,0.11901,0.11466,0.1095,0.10376,0.09858,0.09208,0.08358,0.07882,0.07188,0.06658,0.05961,0.05777,0.05611,0.05789,0.0573,0.05599,0.05388,0.05126,0.04815,0.04455,0.04044,0.03583
D7-glucose,0.10628,0.09144,0.0793,0.06986,0.06313,0.05909,0.05775,0.06253,0.07366,0.07948,0.08569,0.07784,0.06604,0.06828,0.06803,0.06258,0.06862,0.07462,0.07861,0.08731,0.08862,0.08342,0.08258,0.07962,0.07686,0.0763,0.07765,0.08021,0.09007,0.10253,0.12226,0.13599,0.15639,0.17841,0.19599,0.22335,0.25433,0.28771,0.32803,0.3732,0.42875,0.49284,0.56276,0.62571,0.70045,0.77979,0.82887,0.88456,0.93156,0.9534,0.95916,0.96352,0.95265,0.92333,0.89134,0.85188,0.82255,0.80458,0.77319,0.7509,0.72782,0.70184,0.67683,0.64721,0.60055,0.54709,0.48807,0.43848,0.39874,0.37096,0.34263,0.30971,0.29186,0.27816,0.25996,0.23353,0.21681,0.20551,0.18384,0.17746,0.16102,0.15586,0.14748,0.13788,0.13875,0.12609,0.10543,0.08955,0.08488,0.07296,0.06375,0.05581,0.04911,0.06316,0.06909,0.07279,0.07615,0.07908,0.08158,0.08365,0.08528,0.08647
D-acetate,0.01998,0.01982,0.01961,0.01932,0.01898,0.01856,0.01808,0.01561,0.01373,0.01052,0.01079,0.01611,0.01909,0.02328,0.02812,0.0347,0.04254,0.05367,0.06863,0.09118,0.1298,0.1844,0.25921,0.33727,0.40239,0.44666,0.46725,0.46046,0.4275,0.37255,0.30891,0.24736,0.2033,0.18127,0.18302,0.19605,0.22048,0.25721,0.31952,0.408,0.51077,0.61402,0.71489,0.80782,0.88713,0.94928,0.9867,1.00158,0.99674,0.97925,0.95902,0.93239,0.89253,0.84052,0.78506,0.7308,0.67727,0.62998,0.5828,0.54611,0.51378,0.48632,0.45905,0.42817,0.40226,0.3806,0.3621,0.34718,0.33888,0.33855,0.34175,0.34585,0.34692,0.34185,0.32658,0.2992,0.27489,0.24674,0.21649,0.19271,0.17124,0.15608,0.14117,0.12413,0.10868,0.09043,0.0709,0.05261,0.0413,0.02929,0.02175,0.01857,0.01771,0.02108,0.02149,0.02033,0.01978,0.0193,0.01888,0.01852,0.01823,0.01799
D-cholesterol,0.13274,0.11127,0.09357,0.07963,0.06946,0.06305,0.06041,0.05674,0.06566,0.07181,0.08903,0.10391,0.11503,0.12598,0.13417,0.14572,0.15493,0.14257,0.14482,0.15357,0.1704,0.1886,0.21244,0.23302,0.25295,0.26949,0.28582,0.28523,0.28876,0.29649,0.29616,0.30641,0.33341,0.34318,0.35559,0.37647,0.42143,0.44778,0.48124,0.50691,0.55219,0.62151,0.67501,0.75621,0.81583,0.85503,0.88942,0.92963,0.96682,0.96203,0.95295,0.9218,0.89664,0.87881,0.8545,0.84554,0.82067,0.81631,0.82316,0.83992,0.8404,0.83205,0.79578,0.76455,0.71311,0.65706,0.58167,0.50082,0.42353,0.38003,0.36486,0.33664,0.32231,0.31611,0.31178,0.30893,0.3071,0.30223,0.28939,0.27342,0.26624,0.2703,0.26094,0.24541,0.24574,0.23045,0.20048,0.16381,0.14348,0.13878,0.13067,0.11526,0.09628,0.09343,0.08986,0.1012,0.10428,0.10882,0.1148,0.12223,0.13111,0.14143
D-choline,0.43652,0.39927,0.36911,0.34605,0.33008,0.32121,0.31944,0.35496,0.34715,0.34781,0.34505,0.33307,0.36721,0.36937,0.35797,0.35846,0.37165,0.35148,0.36208,0.37521,0.36509,0.36096,0.34289,0.35833,0.35325,0.336,0.35631,0.37693,0.37896,0.38758,0.40308,0.41253,0.45849,0.49837,0.51508,0.49704,0.49543,0.49914,0.5194,0.45875,0.40885,0.37959,0.364,0.36952,0.36829,0.36033,0.3568,0.34248,0.37916,0.36366,0.394,0.3243,0.31727,0.31864,0.33672,0.3582,0.39244,0.45462,0.536,0.65759,0.71962,0.78879,0.85349,0.85675,0.87533,0.84969,0.79256,0.71568,0.65903,0.54896,0.43748,0.4275,0.36157,0.33621,0.32699,0.32399,0.35559,0.36363,0.34259,0.35051,0.3715,0.34067,0.32993,0.41454,0.37992,0.36542,0.36721,0.3584,0.36998,0.3329,0.31783,0.33434,0.34691,0.3441,0.36531,0.40805,0.41349,0.41025,0.39833,0.37773,0.34845,0.31049
D-glutamine,0.24044,0.20197,0.16856,0.14021,0.11692,0.09868,0.0855,0.06865,0.06919,0.07124,0.0778,0.09943,0.10984,0.11987,0.14382,0.16985,0.21179,0.2345,0.24597,0.26961,0.28546,0.28619,0.29064,0.29422,0.27849,0.26527,0.276,0.29375,0.31187,0.33401,0.35314,0.37431,0.40028,0.42846,0.4308,0.43004,0.44036,0.45703,0.46397,0.50675,0.529,0.56347,0.59816,0.65363,0.71135,0.75638,0.79332,0.83765,0.88428,0.91492,0.93231,0.95811,0.9249,0.88975,0.83922,0.82128,0.78967,0.77337,0.77971,0.80535,0.84912,0.88845,0.92792,0.92946,0.90649,0.85321,0.79384,0.72733,0.63056,0.55606,0.47067,0.41682,0.38107,0.32945,0.30306,0.27646,0.26383,0.24561,0.23756,0.22843,0.22292,0.24303,0.28608,0.31796,0.35737,0.36864,0.36501,0.36571,0.34036,0.31676,0.30042,0.30196,0.30653,0.33316,0.36712,0.37847,0.39623,0.41442,0.43303,0.45207,0.47153,0.49142
D-leucine,0.09659,0.09933,0.10251,0.10615,0.11024,0.11478,0.11977,0.12249,0.11016,0.10828,0.11074,0.12967,0.15814,0.19355,0.24753,0.27604,0.28845,0.30041,0.33164,0.37589,0.40621,0.44242,0.45211,0.46301,0.47636,0.4723,0.46675,0.45888,0.45221,0.44342,0.44936,0.45501,0.48141,0.51797,0.53316,0.53897,0.5526,0.57054,0.56765,0.58838,0.57766,0.56731,0.55249,0.56305,0.56935,0.57469,0.57366,0.56495,0.5624,0.57336,0.55968,0.5557,0.53643,0.52374,0.52371,0.5377,0.52032,0.52693,0.57441,0.63209,0.69771,0.75251,0.7949,0.8069,0.80544,0.78312,0.74533,0.67563,0.5923,0.51364,0.45765,0.41075,0.37972,0.37049,0.34586,0.29165,0.27922,0.27427,0.25428,0.23339,0.21306,0.18701,0.15556,0.16028,0.16875,0.18161,0.14902,0.10789,0.1267,0.1353,0.13103,0.11532,0.12571,0.12548,0.11409,0.14956,0.16188,0.17406,0.18611,0.19801,0.20978,0.22142
D-lysine,0.08879,0.0909,0.09404,0.09823,0.10344,0.1097,0.11699,0.13945,0.13878,0.13247,0.13889,0.1542,0.18061,0.21141,0.22167,0.23241,0.28619,0.34448,0.38559,0.44006,0.47777,0.50066,0.51993,0.53194,0.52278,0.50494,0.47952,0.46763,0.47378,0.47685,0.48926,0.49796,0.54488,0.5905,0.63543,0.66062,0.68797,0.71618,0.74728,0.76555,0.78017,0.76979,0.76137,0.76186,0.78781,0.78264,0.78956,0.77039,0.77524,0.76574,0.77012,0.75089,0.73158,0.68938,0.66231,0.65846,0.63877,0.63702,0.68816,0.72248,0.77843,0.81376,0.84957,0.87165,0.86911,0.83563,0.76508,0.71128,0.61756,0.54124,0.49016,0.44301,0.40054,0.37933,0.36657,0.3658,0.35929,0.34541,0.30395,0.30177,0.25407,0.22091,0.19773,0.19908,0.18374,0.18179,0.18162,0.18612,0.19063,0.19354,0.18974,0.20307,0.20552,0.21555,0.25583,0.29733,0.31085,0.31849,0.32026,0.31615,0.30616,0.2903
D-methionine,0.36308,0.33615,0.31112,0.28801,0.26681,0.24752,0.23015,0.19238,0.20289,0.18307,0.17132,0.17491,0.20056,0.2263,0.25117,0.2717,0.29723,0.32045,0.33848,0.35385,0.39042,0.39601,0.39956,0.40136,0.41604,0.42744,0.43542,0.44923,0.46728,0.49429,0.51644,0.55456,0.57594,0.58295,0.5893,0.59639,0.61625,0.62265,0.62893,0.65725,0.71352,0.77848,0.82254,0.85938,0.85844,0.85323,0.85844,0.83607,0.80007,0.73969,0.69649,0.64681,0.6233,0.60441,0.58999,0.61709,0.62833,0.67174,0.72331,0.76039,0.80587,0.85048,0.87323,0.87241,0.83529,0.80095,0.73111,0.68538,0.62063,0.5752,0.52254,0.45848,0.43094,0.41455,0.40629,0.38244,0.36075,0.3668,0.33233,0.35189,0.35926,0.36214,0.37923,0.35822,0.37936,0.35871,0.32503,0.26667,0.28151,0.26457,0.2283,0.23441,0.20038,0.17879,0.18504,0.17907,0.18038,0.18484,0.19244,0.2032,0.21711,0.23417
