name,2002.31,2005.26,2008.21,2011.15,2014.09,2017.02,2019.96,2022.89,2025.81,2028.73,2031.65,2034.57,2037.48,2040.39,2043.29,2046.19,2049.09,2051.98,2054.87,2057.76,2060.64,2063.52,2066.39,2069.27,2072.13,2075.0,2077.86,2080.71,2083.57,2086.42,2089.27,2092.11,2094.95,2097.79,2098.91,2102.04,2105.15,2108.27,2111.38,2114.49,2117.6,2120.7,2123.8,2126.9,2129.99,2133.08,2136.17,2139.25,2142.33,2145.41,2148.49,2151.56,2154.63,2157.69,2160.75,2163.81,2166.87,2169.92,2172.97,2176.02,2179.06,2182.1,2185.14,2188.17,2191.2,2194.23,2197.26,2200.28,2203.3,2206.31,2209.32,2212.33,2215.34,2218.34,2221.34,2224.34,2227.33,2230.32,2233.3,2236.29,2239.27,2242.24,2245.22,2248.19,2251.16,2254.12,2257.08,2260.04,2263.0,2265.95,2268.9,2271.84,2274.78,2277.72,2280.66,2283.59,2286.52,2289.45,2292.37,2295.29,2298.21,2301.12
D-leucine,0.00333,0.03401,0.03441,0.01874,0.06691,0.06844,0.00732,0.01176,0.0331,0.06219,0.03206,0.03045,0.04206,0.10967,0.0952,0.15002,0.1687,0.26431,0.3112,0.43924,0.63854,0.80356,0.90879,0.99289,1.0,0.91507,0.80287,0.70019,0.67737,0.58085,0.54396,0.51003,0.47523,0.46243,0.46344,0.46905,0.44275,0.46421,0.52905,0.58637,0.64973,0.69592,0.68312,0.76808,0.79249,0.78766,0.66034,0.57654,0.51518,0.42197,0.49021,0.3792,0.34351,0.34998,0.35947,0.31871,0.3319,0.31738,0.3461,0.32973,0.32622,0.26012,0.25049,0.39075,0.27939,0.30547,0.3644,0.36262,0.37308,0.31997,0.47442,0.50864,0.58882,0.66563,0.55629,0.54996,0.56215,0.48739,0.51152,0.46602,0.3066,0.3501,0.27085,0.22279,0.24345,0.14179,0.15528,0.19667,0.08879,0.12629,0.06638,0.08951,0.13145,0.09046,0.04098,0.05335,0.05902,0.07082,0.0,0.08049,0.05838,0.09125
D-methionine,0.03884,0.08393,0.11028,0.06942,0.04426,0.0292,0.03633,0.00459,0.02058,0.01411,0.00676,0.03166,0.00907,0.02152,0.01633,0.05332,0.06318,0.04418,0.04126,0.04347,0.05398,0.05658,0.06063,0.06187,0.07071,0.09328,0.11107,0.10732,0.0941,0.10106,0.09357,0.11101,0.11658,0.1156,0.11507,0.10581,0.10923,0.09671,0.10119,0.08548,0.10457,0.10318,0.11684,0.16439,0.25457,0.48847,0.93813,1.0,0.57622,0.31717,0.17109,0.13016,0.10256,0.07163,0.09731,0.07542,0.07114,0.06865,0.05768,0.06169,0.05724,0.05679,0.05716,0.06651,0.06113,0.04778,0.0598,0.03811,0.03394,0.06388,0.0419,0.0441,0.03128,0.05442,0.03948,0.0264,0.06621,0.03832,0.06623,0.07348,0.06762,0.11272,0.15611,0.19039,0.20234,0.19692,0.16929,0.13601,0.09137,0.08713,0.0697,0.03766,0.04432,0.03102,0.02992,0.01861,0.0142,0.01382,0.02142,0.01271,0.01297,0.00955
D-tyrosine,0.08767,0.05756,0.03993,0.01645,0.05679,0.10776,0.12103,0.12598,0.15756,0.19891,0.28959,0.37557,0.44937,0.50718,0.59541,0.70597,0.80844,0.91516,0.97885,0.99664,0.9649,0.94662,0.91743,0.87496,0.81061,0.74519,0.65207,0.54526,0.47282,0.42078,0.36922,0.2926,0.25474,0.24916,0.2072,0.19971,0.21635,0.24838,0.18713,0.1801,0.22005,0.2252,0.15024,0.13325,0.16572,0.17367,0.12628,0.14697,0.17135,0.18025,0.15193,0.15324,0.17524,0.19986,0.22204,0.16759,0.11432,0.08455,0.11948,0.11756,0.13486,0.15983,0.16488,0.13493,0.14515,0.16943,0.18579,0.16877,0.24315,0.3344,0.31837,0.21346,0.15053,0.15975,0.15609,0.16435,0.17212,0.18865,0.21993,0.23119,0.20624,0.21074,0.23789,0.27968,0.284,0.29409,0.30636,0.33552,0.38559,0.43946,0.43551,0.42923,0.48595,0.58573,0.61827,0.6553,0.57657,0.46732,0.38048,0.4078,0.37286,0.30676
D-choline,0.16295,0.17569,0.18393,0.18768,0.18693,0.19204,0.17371,0.14491,0.1539,0.17114,0.1914,0.20919,0.33049,0.42647,0.523,0.6258,0.70048,0.7662,0.78802,0.75708,0.83808,0.85699,0.86358,0.83792,0.77574,0.70657,0.64216,0.58515,0.5806,0.56107,0.54393,0.50512,0.47782,0.43712,0.4203,0.40003,0.38562,0.35067,0.34478,0.32808,0.31235,0.29657,0.26687,0.23775,0.22964,0.19981,0.21709,0.18245,0.18122,0.20222,0.17853,0.1812,0.17443,0.18922,0.18294,0.13977,0.17925,0.206,0.19467,0.17709,0.17635,0.18166,0.15693,0.15225,0.202,0.21583,0.18759,0.18484,0.20138,0.19285,0.17764,0.17062,0.19346,0.17553,0.15726,0.17835,0.17522,0.17821,0.19223,0.17985,0.17401,0.20082,0.18782,0.16468,0.16202,0.16658,0.20363,0.17447,0.16943,0.21764,0.17277,0.15489,0.17476,0.19337,0.18902,0.17868,0.18626,0.17557,0.17907,0.18381,0.18979,0.19701
D-serine,0.02093,0.03065,0.0183,0.03638,0.04887,0.05884,0.07431,0.07885,0.11117,0.13814,0.19947,0.28147,0.34002,0.42504,0.49565,0.66484,0.71946,0.79632,0.8505,0.90628,1.0,0.94097,0.9109,0.867,0.80673,0.72814,0.63279,0.52907,0.46029,0.37019,0.30466,0.25647,0.21151,0.16342,0.14335,0.13287,0.1412,0.10504,0.09533,0.07874,0.10141,0.04688,0.04748,0.03564,0.02897,0.01712,0.01509,0.02026,0.02609,0.01612,0.01073,0.02294,0.02809,0.03708,0.03654,0.04298,0.03711,0.03521,0.02827,0.04023,0.01897,0.0491,0.03275,0.05483,0.05689,0.04646,0.05363,0.06217,0.03481,0.04912,0.03049,0.04671,0.0389,0.07059,0.06007,0.02109,0.02949,0.04095,0.04212,0.03837,0.0044,0.03259,0.00675,0.0222,0.02093,0.02534,0.02394,0.01949,0.01916,0.02635,0.0159,0.01207,0.02237,0.02381,0.02075,0.022,0.01762,0.02012,0.02453,0.01503,0.02048,0.02127
D7-glucose,0.23392,0.22854,0.22289,0.21697,0.21079,0.20271,0.21618,0.21934,0.19661,0.19948,0.22147,0.22575,0.24884,0.28358,0.34727,0.42438,0.53785,0.65709,0.75786,0.80662,0.84658,0.87347,0.88922,0.87097,0.8437,0.80856,0.72017,0.64471,0.59921,0.55182,0.53142,0.53586,0.54241,0.58604,0.57193,0.58309,0.58337,0.5676,0.53067,0.53486,0.49448,0.53736,0.4973,0.46275,0.43621,0.44306,0.42561,0.43847,0.39771,0.42641,0.41898,0.41314,0.4108,0.43241,0.46914,0.49923,0.4624,0.4652,0.45636,0.44688,0.44355,0.45895,0.49267,0.50727,0.47985,0.50676,0.43908,0.40206,0.36982,0.30965,0.2966,0.3086,0.25726,0.25603,0.23028,0.2256,0.23611,0.23505,0.25683,0.27615,0.20552,0.21496,0.22445,0.19358,0.24054,0.23775,0.21636,0.21247,0.19179,0.21901,0.21931,0.2275,0.25375,0.21102,0.22778,0.22724,0.21345,0.21032,0.21038,0.21241,0.2164,0.22237
D2-fructose,0.21862,0.19387,0.10532,0.21108,0.19148,0.24954,0.23657,0.26613,0.04719,0.15463,0.24187,0.10892,0.26959,0.14373,0.13997,0.22653,0.29487,0.4399,0.40024,0.62097,0.70041,0.70559,0.77218,0.71548,0.66477,0.57768,0.58031,0.62515,0.64754,0.62952,0.68285,0.76644,0.75629,0.90449,1.0,0.98729,0.87706,0.94874,0.88136,0.85297,0.90704,0.7378,0.8121,0.64093,0.68681,0.73249,0.74013,0.75972,0.7716,0.79051,0.80842,0.74184,0.75518,0.69638,0.58485,0.48196,0.44574,0.50596,0.66145,0.79841,0.74774,0.77496,0.87437,0.96535,0.62183,0.73194,0.5752,0.60004,0.39581,0.42828,0.42338,0.52488,0.3856,0.3279,0.37119,0.45408,0.39216,0.3168,0.33744,0.34816,0.24022,0.16291,0.18512,0.26892,0.18394,0.23078,0.20332,0.29444,0.16302,0.16029,0.09134,0.27225,0.1414,0.19825,0.28267,0.21079,0.11556,0.16166,0.21729,0.20828,0.29224,0.18244
D-glutamine,0.25604,0.06798,0.00355,0.06679,0.1075,0.10392,0.08933,0.00401,0.0509,0.10456,0.02356,0.09682,0.12153,0.14909,0.19516,0.2531,0.50859,0.49979,0.50577,0.54301,0.59029,0.65463,0.61633,0.65058,0.66879,0.66945,0.67045,0.56931,0.66331,0.6582,0.67051,0.69272,0.69292,0.73569,0.76069,0.82497,0.77068,0.85628,0.82327,0.95618,0.9148,0.92177,0.87959,0.8774,0.84319,0.85919,0.92282,0.85761,0.82656,0.84544,0.97639,1.0,0.95375,0.98474,0.89519,0.82037,0.83314,0.76123,0.72662,0.72505,0.68604,0.6907,0.70135,0.64331,0.5924,0.69254,0.64556,0.58254,0.55317,0.60939,0.67492,0.52118,0.63016,0.59603,0.5658,0.52704,0.52908,0.57995,0.66903,0.5642,0.47465,0.52418,0.39464,0.34316,0.42041,0.35452,0.28659,0.22117,0.26702,0.15684,0.1586,0.10224,0.11796,0.13907,0.14625,0.03717,0.07604,0.11315,0.04191,0.03952,0.14733,0.05588
D-lysine,0.05258,0.04084,0.03519,0.03563,0.04215,0.05766,0.08308,0.08915,0.09617,0.14658,0.18409,0.21257,0.26386,0.34469,0.43207,0.54164,0.64062,0.71339,0.73149,0.69969,0.63639,0.57264,0.50536,0.44827,0.35502,0.26418,0.17391,0.10663,0.05077,0.01357,-0.000681567,-0.00423,-0.00342,0.03653,0.0352,0.02544,0.00779,-0.02699,-0.01652,-0.02022,-0.01368,0.00914,-0.01858,-0.01847,-0.03262,-0.02169,0.03109,0.00405,0.01028,-0.03868,-0.07434,-0.00231,-0.03879,-0.04635,-0.01171,-0.01182,0.01358,0.00908,-0.01042,0.00327,0.01069,0.02429,0.0578,0.03759,0.04197,0.0459,0.02668,0.05927,0.04494,0.04216,0.03995,0.03041,0.0498,0.03587,0.03207,0.01732,0.01141,-0.01496,0.00881,0.00734,0.02825,0.02517,0.01797,0.01324,0.03929,0.02149,0.07992,0.0696,0.0774,0.07944,0.10312,0.1735,0.23683,0.26846,0.33365,0.33939,0.2911,0.29756,0.2523,0.18984,0.11018,0.01332
