Class,Precision,Recall,F1-Score
c13-d-acetate,0.9191919191919192,0.91,0.914572864321608
c13-d-glucose,0.46464646464646464,0.46,0.4623115577889447
c13-d-met,0.8631578947368421,0.82,0.841025641025641
d2-fructose,0.8877551020408163,0.87,0.8787878787878788
d2-glucose,0.6379310344827587,0.74,0.6851851851851852
D2O,0.7849462365591398,0.73,0.7564766839378239
d7-glucose,0.5212765957446809,0.49,0.5051546391752577
d-acetate,0.8773584905660378,0.93,0.9029126213592233
d-cholesterol,0.6074766355140186,0.65,0.6280193236714976
d-choline,1.0,0.98,0.98989898989899
d-glutamine,0.8137254901960784,0.83,0.8217821782178217
d-leucine,0.7476635514018691,0.8,0.7729468599033816
d-lysine,0.8421052631578947,0.8,0.8205128205128205
d-methionine,0.8737864077669902,0.9,0.8866995073891626
d-oa,0.9,0.9,0.9
d-pa,0.97,0.97,0.97
d-serine,0.5955056179775281,0.53,0.5608465608465608
d-tyrosine,0.9292929292929293,0.92,0.9246231155778895
