wavenumber,d2-fructose_avg,d2-fructose_count,d7-glucose_avg,d7-glucose_count,d-tyrosine_avg,d-tyrosine_count,d-methionine_avg,d-methionine_count,d-leucine_avg,d-leucine_count
2002.31,0.20659896115805945,2906,0.08015205416586423,61464,0.2850886319808031,16837,0.29698018330814224,1458,0.24398470104536354,6608
2005.26,0.20777565860440705,2906,0.06756939043551471,61464,0.28085182401293823,16837,0.2830427546300953,1458,0.24508626854856064,6608
2008.21,0.23793642850822572,2906,0.08914286494703048,61464,0.3144565175166313,16837,0.3092436093460599,1458,0.28347515576562055,6608
2011.15,0.1585291690346484,2906,0.04058208703219353,61464,0.20888632180160405,16837,0.21980477397545875,1458,0.19669949203674733,6608
2014.09,0.3179276776462487,2906,0.1196306823561674,61464,0.3446478103465807,16837,0.34301821919371345,1458,0.35226928190529877,6608
2017.02,0.3132277096129573,2906,0.11418934203851944,61464,0.34115553411680855,16837,0.3535770230552,1458,0.36185573245517483,6608
2019.96,0.3525686863592336,2906,0.13766199978965274,61464,0.3780335624379159,16837,0.39033197680776177,1458,0.4000349729254772,6608
2022.89,0.27867499048007677,2906,0.10106396881605742,61464,0.30318474560746933,16837,0.3265765511888873,1458,0.34078419226268675,6608
2025.81,0.3046224505900398,2906,0.10345198446231602,61464,0.33814015689432214,16837,0.35433892198698647,1458,0.3751457850722149,6608
2028.73,0.3306571817451666,2906,0.13564368701507773,61464,0.36535112104569,16837,0.37309321737611156,1458,0.4170748439728442,6608
2031.65,0.23929677161527893,2906,0.0701644078307335,61464,0.25135203609985185,16837,0.2733003818721388,1458,0.3021108786967231,6608
2034.57,0.23330677568893826,2906,0.07418249848350696,61464,0.26769292362507746,16837,0.2938910413884686,1458,0.32671633002410083,6608
2037.48,0.42818999965156745,2906,0.22969128275375642,61464,0.4728281709713522,16837,0.4641676245837524,1458,0.5345191523909537,6608
2040.39,0.47905045840040406,2906,0.30300934873893903,61464,0.5589373880818845,16837,0.55994558953928,1458,0.6504259538794197,6608
2043.29,0.2661670227726987,2906,0.1063555360262678,61464,0.32546472053199604,16837,0.34478415773066406,1458,0.4070382263874054,6608
2046.19,0.31130230276346027,2906,0.14106103575518572,61464,0.3199346245747403,16837,0.3483834794553952,1458,0.4270416351982351,6608
2049.09,0.4047004394356822,2906,0.21788099588633794,61464,0.4560014248658195,16837,0.5012090143533596,1458,0.5703839171643553,6608
2051.98,0.3223334707697719,2906,0.12988618960551054,61464,0.34179840425840724,16837,0.3901045957170222,1458,0.48087002658198336,6608
2054.87,0.45668835667786173,2906,0.2609248598772085,61464,0.4797551992730676,16837,0.5099822860533714,1458,0.6173585491932362,6608
2057.76,0.3640562968765165,2906,0.16628060130887087,61464,0.4012583998983344,16837,0.4324613535887147,1458,0.5101189040102332,6608
2060.64,0.3074969663908323,2906,0.11117347182805833,61464,0.34536338837619535,16837,0.37298510842642385,1458,0.46509704390336837,6608
2063.52,0.28227897711998895,2906,0.10823216088200244,61464,0.3369544377366557,16837,0.34384341611937935,1458,0.4285336410683335,6608
2066.39,0.27479894845041425,2906,0.0922037878881688,61464,0.3412771023569598,16837,0.36002670136017134,1458,0.4184855935908709,6608
2069.27,0.33699640185594987,2906,0.1544964056661781,61464,0.3834350950894269,16837,0.41830756053065793,1458,0.4915411568102204,6608
2072.13,0.3918590074678888,2906,0.2036790847604903,61464,0.45338274963103486,16837,0.49905385455612516,1458,0.5523356246423159,6608
2075.0,0.3465172625978835,2906,0.15369292837066387,61464,0.41923714289783665,16837,0.4807733625628762,1458,0.5172453463043617,6608
2077.86,0.36906874338288354,2906,0.17354793782665875,61464,0.45363433531471886,16837,0.514405656743571,1458,0.5471160096305248,6608
2080.71,0.3525636845268694,2906,0.15909023295339933,61464,0.446761487701921,16837,0.49292822849783086,1458,0.5319651954978737,6608
2083.57,0.30872642610165496,2906,0.12196687427562285,61464,0.4020153607632385,16837,0.42841831292624644,1458,0.4881879219893664,6608
2086.42,0.27043881883150495,2906,0.10720538903307798,61464,0.3758028412638418,16837,0.41162118166989714,1458,0.4485674372215093,6608
2089.27,0.3626680009060038,2906,0.22118287688004962,61464,0.48556563183153356,16837,0.5174022862747764,1458,0.5540549022052359,6608
2092.11,0.41266164425746565,2906,0.24988040928035515,61464,0.5273108201764352,16837,0.5268959632559563,1458,0.5883008373862457,6608
2094.95,0.3034107067899565,2906,0.13237091877234097,61464,0.40226676243384674,16837,0.4217006102913088,1458,0.4700566939521662,6608
2097.79,0.4572709339524283,2906,0.27825655620304746,61464,0.5769640023357395,16837,0.6106355835285631,1458,0.6708181545417835,6608
2098.91,0.37952045299728876,2906,0.1928774013411902,61464,0.48270249652400365,16837,0.5162828683868079,1458,0.5782909769220806,6608
2102.04,0.2841636502468782,2906,0.08746083469456324,61464,0.34290467629635374,16837,0.38147717281851523,1458,0.42091525795365786,6608
2105.15,0.3179007971203549,2906,0.13136933139074788,61464,0.39525337920789755,16837,0.4406723427056699,1458,0.4687101410172936,6608
2108.27,0.33681731558498545,2906,0.17913896693374473,61464,0.42998209919778857,16837,0.4618294018673541,1458,0.4898302972041231,6608
2111.38,0.40994672945941046,2906,0.22484333166783785,61464,0.5120702533384346,16837,0.521512136231505,1458,0.5944135222423064,6608
2114.49,0.3436457441544047,2906,0.2044957414745269,61464,0.46586097343091676,16837,0.4840016181104491,1458,0.5057539285945434,6608
2117.6,0.2992637694293994,2906,0.11104567940005819,61464,0.38159382755798343,16837,0.40633265848244177,1458,0.45202332531876677,6608
2120.7,0.27670325244925836,2906,0.11515778916402628,61464,0.3834966028854178,16837,0.40764619147731845,1458,0.4421658633405207,6608
2123.8,0.311949548875794,2906,0.12780520557104355,61464,0.40919128471804067,16837,0.4147311205394716,1458,0.4701244112376618,6608
2126.9,0.46125601344736633,2906,0.2873067002206652,61464,0.5436527731716259,16837,0.5720765912016862,1458,0.6076412422612094,6608
2129.99,0.43514208626876133,2906,0.273649094996656,61464,0.5652279019707207,16837,0.5609379576404634,1458,0.612867434327503,6608
2133.08,0.3846791705947735,2906,0.204641834002363,61464,0.4895812288222626,16837,0.4911313127016596,1458,0.5414121024247223,6608
2136.17,0.2728455829769787,2906,0.08675521739420718,61464,0.3255927186050796,16837,0.34397917049803284,1458,0.382239884082667,6608
2139.25,0.33016006028272393,2906,0.12109409192118503,61464,0.37471853596745713,16837,0.3962415164082689,1458,0.44006016967737605,6608
2142.33,0.4322130023735847,2906,0.1990181714987657,61464,0.4685902024299815,16837,0.5106321060836855,1458,0.5367458286740258,6608
2145.41,0.578679497326923,2906,0.3741003313298686,61464,0.6143093572743219,16837,0.6776145845013418,1458,0.6835488973636836,6608
2148.49,0.4791955059429306,2906,0.2225528401225077,61464,0.47039291398323274,16837,0.5684661825925638,1458,0.5526008657988514,6608
2151.56,0.6039457160738514,2906,0.4253159902170057,61464,0.6023142197346624,16837,0.6888827713095613,1458,0.6726296816934156,6608
2154.63,0.8876822885008833,2906,0.87585023447593,61464,0.941504728905081,16837,1.0,1458,0.9892775780893256,6608
2157.69,0.7051383435831461,2906,0.5338292057231162,61464,0.7060773946142835,16837,0.8146471333777301,1458,0.7988465113951937,6608
2160.75,0.6771120829088305,2906,0.4558941215866948,61464,0.6346897791799063,16837,0.7369775210655067,1458,0.7234000050322067,6608
2163.81,0.7514553980956988,2906,0.5824753826068183,61464,0.7023187862739637,16837,0.8105890186747522,1458,0.7868466380850696,6608
2166.87,0.7098463985092487,2906,0.5188972618257237,61464,0.6521047695778508,16837,0.760752259004674,1458,0.736262850185039,6608
2169.92,0.7348662487465779,2906,0.5727162191497019,61464,0.6664699813013708,16837,0.779109218298982,1458,0.7524955529579992,6608
2172.97,0.7759190235873612,2906,0.6481139267025753,61464,0.712610037146262,16837,0.8404886222775695,1458,0.7965044499282973,6608
2176.02,0.705442543667782,2906,0.5540716831825084,61464,0.6500658607617691,16837,0.7599964011778699,1458,0.7157404907806059,6608
2179.06,0.6719748508946543,2906,0.4592968663507398,61464,0.5746043149016696,16837,0.6976206072760058,1458,0.6589641867679932,6608
2182.1,0.7241756486449165,2906,0.5222928690909269,61464,0.628326359617786,16837,0.7442113635013312,1458,0.7055625710665574,6608
2185.14,0.7089038201626425,2906,0.492705106583126,61464,0.6122282571949866,16837,0.7247504107255323,1458,0.6760435314996047,6608
2188.17,0.7827111184089774,2906,0.6137087388472429,61464,0.6743630741652177,16837,0.7957109869954642,1458,0.7451362192738266,6608
2191.2,0.6013951428098222,2906,0.352551936712957,61464,0.48218064211219136,16837,0.6007795674708515,1458,0.5331567032932368,6608
2194.23,0.6218395730803,2906,0.3357075743244581,61464,0.48711813177339686,16837,0.6187379029117424,1458,0.5519284831828053,6608
2197.26,0.7017134105978704,2906,0.4414932207377403,61464,0.5630450063287052,16837,0.68184112402548,1458,0.6314725990666229,6608
2200.28,0.6144905848705365,2906,0.35532785159336094,61464,0.5388225229372808,16837,0.6254005951591244,1458,0.5833695525039159,6608
2203.3,0.7577591131398498,2906,0.5609960128842124,61464,0.6719702049039994,16837,0.7806995131492218,1458,0.7508198641417573,6608
2206.31,0.7091244045420444,2906,0.48487199512391316,61464,0.6317713875792981,16837,0.7422644311802661,1458,0.69094394975402,6608
2209.32,0.7455535378802929,2906,0.5073256112983258,61464,0.6547192650549938,16837,0.7848883182816787,1458,0.7335853674216364,6608
2212.33,0.6699943224310004,2906,0.40787841256375346,61464,0.5874897309054192,16837,0.7057269937216951,1458,0.6514373506752527,6608
2215.34,0.6636219604709104,2906,0.42233564868401596,61464,0.5790073664557502,16837,0.7477545180822882,1458,0.654461242954932,6608
2218.34,0.6500942052515377,2906,0.38867538369147475,61464,0.5708847758923941,16837,0.7222230957336123,1458,0.6446469644325329,6608
2221.34,0.6992540945290245,2906,0.47403249113749485,61464,0.6478006204803618,16837,0.7864572056093299,1458,0.7058779634190095,6608
2224.34,0.6833829113748278,2906,0.4534588627047397,61464,0.6317855835087504,16837,0.7985982350278475,1458,0.7054403207350758,6608
2227.33,0.7276279527622672,2906,0.5391830243091813,61464,0.6965743255850891,16837,0.8270313274931881,1458,0.7577523021994117,6608
2230.32,0.6197877785351625,2906,0.39359188137030116,61464,0.6120405423016595,16837,0.7475392715901862,1458,0.6626065609187274,6608
2233.3,0.5736422542266812,2906,0.3337488568149892,61464,0.5334684529989672,16837,0.6745891502343967,1458,0.5823954665223535,6608
2236.29,0.6254140508360145,2906,0.38815915825129443,61464,0.577241759939102,16837,0.7106660201572067,1458,0.6509689001826986,6608
2239.27,0.6824150826817429,2906,0.46426757122094126,61464,0.6720613934289825,16837,0.7760578908863233,1458,0.7241364357239309,6608
2242.24,0.741952941739608,2906,0.5450635379165306,61464,0.7439436586132845,16837,0.8306437591869,1458,0.7839098018818952,6608
2245.22,0.6890853328527349,2906,0.48129949854178894,61464,0.6975455302568878,16837,0.7646904770229033,1458,0.744666141813586,6608
