Slice,Mean
1,96
2,149
3,68
4,64
5,124
6,299
7,124
8,135
9,78
10,266
11,231
12,122
13,169
14,127
15,122
16,221
17,210
18,261
19,270
20,222
21,262
22,262
23,264
24,336
25,268
26,279
27,210
28,279
29,209
30,305
31,305
32,184
33,289
34,259
35,325
36,269
37,350
38,369
39,258
40,352
41,358
42,233
43,278
44,286
45,269
46,358
47,233
48,414
49,461
50,425
51,502
52,476
53,430
54,409
55,301
56,317
57,250
58,384
59,300
60,297
61,257
62,178
63,275
64,215
65,252
66,267
67,169
68,125
69,272
70,323
71,282
72,165
73,284
74,295
75,272
76,312
77,330
78,373
79,281
80,249
81,287
82,201
83,222
84,195
85,121
86,205
87,150
88,215
89,251
90,116
91,134
92,177
93,51
94,77
95,76
96,150
97,141
98,344
99,296
100,108
101,157
102,235
