[_],Mean
0,188.000
1,142.500
2,157.500
3,99.000
4,81.000
5,75.500
6,84.500
7,65.500
8,0.000
9,177.000
10,131.500
11,111.000
12,142.500
13,95.000
14,160.000
15,132.000
16,188.500
17,112.000
18,245.000
19,234.000
20,275.000
21,224.000
22,150.000
23,204.000
24,193.000
25,208.000
26,228.000
27,280.500
28,250.500
29,307.000
30,252.500
31,212.500
32,299.500
33,291.500
34,291.000
35,270.500
36,328.500
37,354.500
38,231.000
39,318.000
40,278.000
41,250.500
42,270.500
43,205.000
44,217.500
45,170.000
46,208.000
47,260.000
48,243.500
49,341.000
50,331.500
51,392.500
52,326.000
53,290.000
54,313.000
55,311.500
56,276.500
57,294.000
58,259.000
59,290.000
60,241.500
61,210.500
62,229.000
63,266.500
64,290.500
65,220.500
66,268.000
67,351.500
68,236.000
69,91.500
70,268.500
71,136.000
72,196.000
73,99.500
74,218.500
75,173.000
76,218.000
77,173.500
78,262.500
79,166.000
80,160.500
81,161.500
82,168.500
83,131.500
84,173.500
85,166.500
86,43.000
87,228.000
88,107.500
89,194.000
90,188.000
91,286.000
92,193.000
93,150.500
94,117.000
95,116.500
96,181.500
97,169.000
98,245.500
99,149.500
100,155.000
101,72.000
