[_],Mean
0,0
1,16
2,10
3,56
4,69
5,21
6,53
7,0
8,113
9,145
10,0
11,103
12,0
13,78
14,32
15,85
16,192
17,0
18,150
19,130
20,250
21,154
22,237
23,237
24,152
25,159
26,245
27,206
28,210
29,213
30,170
31,105
32,70
33,216
34,113
35,123
36,126
37,122
38,96
39,128
40,160
41,112
42,134
43,169
44,181
45,156
46,66
47,77
48,207
49,347
50,302
51,228
52,328
53,255
54,316
55,391
56,281
57,263
58,267
59,309
60,372
61,189
62,229
63,254
64,233
65,180
66,226
67,236
68,194
69,70
70,256
71,188
72,121
73,113
74,126
75,165
76,0
77,95
78,62
79,137
80,62
81,136
82,118
83,133
84,34
85,90
86,148
87,238
88,36
89,150
90,55
91,107
92,157
93,0
94,264
95,192
96,200
97,249
98,316
99,292
100,174
101,229
