[_],Mean
0,3.867
1,2.167
2,10.100
3,0.000
4,18.767
5,12.033
6,10.133
7,19.933
8,7.133
9,31.400
10,10.367
11,4.500
12,60.567
13,38.767
14,6.467
15,43.867
16,7.400
17,65.433
18,50.700
19,0.000
20,17.867
21,24.133
22,15.867
23,83.667
24,12.733
25,32.000
26,33.033
27,16.967
28,25.000
29,33.933
30,33.567
31,8.033
32,62.300
33,22.300
34,29.800
35,17.533
36,68.900
37,56.767
38,21.300
39,21.533
40,19.033
41,22.833
42,83.733
43,29.700
44,28.733
45,42.333
46,33.767
47,19.000
48,37.333
49,127.467
50,67.967
51,143.133
52,210.833
53,139.267
54,218.300
55,203.733
56,188.767
57,226.267
58,179.667
59,204.733
60,190.733
61,155.433
62,143.467
63,160.400
64,164.867
65,175.533
66,184.200
67,96.233
68,180.767
69,161.933
70,144.800
71,79.067
72,113.267
73,92.100
74,129.867
75,135.867
76,125.367
77,76.033
78,131.667
79,110.633
80,134.200
81,84.433
82,122.333
83,144.400
84,127.900
85,83.000
86,85.233
87,96.467
88,118.500
89,112.600
90,78.800
91,125.100
92,94.333
93,144.267
94,131.900
95,77.500
96,102.567
97,227.733
98,141.300
99,130.033
100,231.433
101,200.167
